timestamp, x, y, z, x_ref, y_ref, z_ref, err, q_0, q_1, q_2, q_3, p_0, p_1, p_2, p_3, p_4, p_5
0, 0.06473381527062451, 0.04917696606691075, -0.2578125032253921, 0.1, 0.05, -0.24, 0.039517925570253035, 0.26511659510873187, -0.17147390414744876, 0.2749943603642971, -0.36147521418911543, 634.3165593581207, 0, 290.10505633956217, 634.8442481273705, 0, 332.5742019639322
0.03, 0.06421072394016784, 0.049626576159203746, -0.2578827425106672, 0.1, 0.05, -0.24, 0.04001005131157137, 0.26511659510873187, -0.17147390414744876, 0.2749943603642971, -0.36147521418911543, 634.2632287800686, 0, 289.1563134423833, 634.8723475445454, 0, 331.67789917541415
0.04, 0.06407135055257546, 0.049637210771328426, -0.2579275360897188, 0.1, 0.05, -0.24, 0.04015465125472429, 0.2629660539269742, -0.1747602108119339, 0.27422582361579884, -0.36003287981552184, 634.380629035095, 0, 291.28832369101303, 634.8854816156638, 0, 331.2383533435227
0.04, 0.06407135055257546, 0.049637210771328426, -0.2579275360897188, 0.1, 0.05, -0.24, 0.04015465125472429, 0.2625401187598269, -0.17470618163642684, 0.27376826582725017, -0.3595964965491543, 634.3295865275427, 0, 290.341636442704, 634.8675316025483, 0, 331.83560553325003
0.06, 0.06393275632434456, 0.04933398026123275, -0.2580395015513385, 0.1, 0.05, -0.24, 0.04033253357864194, 0.2625401187598269, -0.17470618163642684, 0.27376826582725017, -0.3595964965491543, 634.3295865275427, 0, 290.341636442704, 634.8675316025483, 0, 331.83560553325003
0.08, 0.06398479035832239, 0.04872636057067199, -0.258169774115547, 0.1, 0.05, -0.24, 0.04035911513326239, 0.26241546334053484, -0.1746484127804471, 0.2741529440656731, -0.3577257945893712, 634.3548995295483, 0, 290.80708605581987, 634.877914914133, 0, 331.4933114341086
0.09, 0.0640710177982014, 0.04831711875181908, -0.25825010155487843, 0.1, 0.05, -0.24, 0.04033348556864403, 0.2626867668046457, -0.17223336265085135, 0.27238402262858485, -0.35795802463839005, 634.3003855848087, 0, 289.81403294464656, 634.8144906711016, 0, 333.4671900892654
0.09, 0.0640710177982014, 0.04831711875181908, -0.25825010155487843, 0.1, 0.05, -0.24, 0.04033348556864403, 0.2640447410236252, -0.17517942586222449, 0.27337825219376494, -0.3521643256792724, 634.56255762201, 0, 294.9705112724347, 634.923013280298, 0, 329.8943424107938
0.11, 0.0643674229053951, 0.047461603534987164, -0.2583610665891939, 0.0975, 0.05, -0.24, 0.037964982389517045, 0.2640447410236252, -0.17517942586222449, 0.27337825219376494, -0.3521643256792724, 634.5685713622315, 0, 295.1021717270229, 634.8518136595173, 0, 332.3383519651476
0.13, 0.06477005039984751, 0.046598700761225346, -0.2584146810905138, 0.0975, 0.05, -0.24, 0.03770834015182235, 0.26551556958698924, -0.1695761807694264, 0.2722999592938983, -0.35310272998586345, 634.319003095374, 0, 290.1492861826039, 634.6378818265158, 0, 337.9603849776879
0.14, 0.06502343963225432, 0.046150596266670625, -0.2584596217673262, 0.0975, 0.05, -0.24, 0.03755399470382269, 0.26809725330956125, -0.16261827252498684, 0.2705758682167091, -0.35547994652105686, 634.1136640606941, 0, 286.6447326513025, 634.5550607488965, 0, 339.747647385115
0.15, 0.06527585655458297, 0.045755900645852804, -0.258447442522151, 0.0975, 0.05, -0.24, 0.037372662946688076, 0.26815743208429443, -0.1611354830073991, 0.2741518589300311, -0.35594247225469966, 634.3180391376047, 0, 290.13183106410986, 634.6488539365339, 0, 337.711289105023
0.16, 0.06555530833076952, 0.045371996964607905, -0.25846404827252645, 0.0975, 0.05, -0.24, 0.037186056749109464, 0.27376586602294234, -0.17290894470805843, 0.27379268120420786, -0.3379640730447608, 634.8561126694833, 0, 302.6535121913759, 634.9859655887733, 0, 327.22014214179535
0.18, 0.06603953748151462, 0.04482271532039602, -0.25843848304498507, 0.0975, 0.05, -0.24, 0.03683127252119981, 0.2759859139111163, -0.16845909729866823, 0.2745022719749564, -0.33882077871999244, 634.2726190242827, 0, 289.32114158063393, 634.6519554985266, 0, 337.6402962567156
0.18, 0.06603953748151462, 0.04482271532039602, -0.25843848304498507, 0.0975, 0.05, -0.24, 0.03683127252119981, 0.27551426159855413, -0.17059516483180953, 0.27732463028033677, -0.3335168543814577, 634.5228004710941, 0, 294.11811261818156, 634.7955115192478, 0, 334.01082038546605
