t,x_t1,y_t1,z_t1,x_t2,y_t2,z_t2,x_fk,y_fk,z_fk,q0,q1,q2,q3,p0,p1,p2,p3,p4,p5,tau1,tau2,tau3,tau4
0,0.0514023,-0.00448767,0.146387,0.134968,-0.0259888,0.24121,-0.0955388,-0.0176753,-0.249719,-0.211706,0.373821,-0.109327,0.448151,0,600,599.999,0,600,599.999,0,0,0,0,
0.00666667,0.0514051,-0.00448791,0.146385,0.135006,-0.0259815,0.241184,-0.095553,-0.0176662,-0.24971,-0.2117,0.373843,-0.108945,0.44834,0.00290015,598.68,601.317,0.00290015,598.68,601.317,0,0,0,0,
0.0133333,0.051408,-0.00448833,0.146384,0.135045,-0.0259746,0.241157,-0.0955697,-0.0176558,-0.249699,-0.211692,0.373868,-0.108516,0.448567,0.0116006,597.356,602.632,0.0116006,597.356,602.632,0,0,0,0,
0.02,0.0514108,-0.00448877,0.146383,0.135085,-0.0259675,0.24113,-0.095588,-0.017643,-0.249688,-0.211685,0.373891,-0.10799,0.448827,0.0261011,596.03,603.944,0.0261011,596.03,603.944,0,0,0,0,
0.0266667,0.051414,-0.0044894,0.146382,0.135125,-0.0259604,0.241102,-0.095608,-0.0176279,-0.249676,-0.211682,0.373923,-0.10736,0.449085,0.0464016,594.701,605.253,0.0464016,594.701,605.253,0,0,0,0,
0.0333333,0.0514174,-0.00449006,0.146381,0.135165,-0.0259525,0.241075,-0.0956282,-0.0176111,-0.249664,-0.211675,0.373957,-0.106678,0.449339,0.0725018,593.369,606.558,0.0725018,593.369,606.558,0,0,0,0,
0.04,0.0514212,-0.00449073,0.146379,0.135205,-0.0259441,0.241049,-0.0956493,-0.0175947,-0.249651,-0.211661,0.373994,-0.106023,0.449602,0.104401,592.034,607.861,0.104401,592.034,607.861,0,0,0,0,
0.0466667,0.0514256,-0.00449132,0.146378,0.135245,-0.0259347,0.241023,-0.0956717,-0.0175771,-0.249638,-0.211633,0.374038,-0.10535,0.449861,0.142099,590.696,609.161,0.142099,590.696,609.161,0,0,0,0,
0.0533333,0.0514304,-0.00449158,0.146376,0.135283,-0.0259234,0.240999,-0.0956951,-0.0175584,-0.249625,-0.211589,0.374091,-0.104668,0.450099,0.185596,589.356,610.458,0.185596,589.356,610.458,0,0,0,0,
0.06,0.0514359,-0.00449167,0.146374,0.135323,-0.0259099,0.240974,-0.0957199,-0.0175402,-0.249611,-0.21154,0.37415,-0.104008,0.450348,0.23489,588.013,611.752,0.23489,588.013,611.752,0,0,0,0,
0.0666667,0.051442,-0.00449098,0.146372,0.135363,-0.0258935,0.24095,-0.0957435,-0.0175222,-0.249598,-0.21147,0.374213,-0.103411,0.450558,0.289981,586.667,613.042,0.289981,586.667,613.042,0,0,0,0,
0.0733333,0.051449,-0.00448985,0.14637,0.135404,-0.0258756,0.240926,-0.0957677,-0.0175045,-0.249585,-0.211373,0.374292,-0.102879,0.450716,0.350868,585.319,614.33,0.350868,585.319,614.33,0,0,0,0,
0.08,0.0514569,-0.00448785,0.146368,0.135446,-0.0258548,0.240902,-0.0957907,-0.0174877,-0.249574,-0.211258,0.374373,-0.102426,0.450845,0.41755,583.968,615.615,0.41755,583.968,615.615,0,0,0,0,
0.0866667,0.0514663,-0.0044845,0.146365,0.135488,-0.025831,0.240879,-0.0958125,-0.0174704,-0.249563,-0.211134,0.374452,-0.10198,0.450952,0.490027,582.614,616.896,0.490027,582.614,616.896,0,0,0,0,
0.0933333,0.051477,-0.00447974,0.146362,0.13553,-0.0258035,0.240856,-0.0958346,-0.0174513,-0.249553,-0.210982,0.374536,-0.10154,0.45104,0.568296,581.257,618.174,0.568296,581.257,618.174,0,0,0,0,
0.1,0.0514894,-0.0044732,0.146358,0.135573,-0.025771,0.240834,-0.0958573,-0.0174283,-0.249543,-0.210789,0.374628,-0.101051,0.451096,0.652358,579.898,619.449,0.652358,579.898,619.449,0,0,0,0,
