time(sec), p_des[0], p_des[1], p_des[2], p_des[3], p_des[4], p_des[5], p_meas[0], p_meas[1], p_meas[2], p_meas[3], p_meas[4], p_meas[5]
0.011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.071, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.081, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
