iteration,x,y,z,r,p0,p1,p2,p3,p4,p5,pxy1,pxy2,pxy3,pxy4
0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.001998345311428403,0.0037282097072117567,-0.2691673289758254,0.0042300037357732734,4.43909,5.7735,0,0,6.78871,1.98409,5,-1.55234,4.16093,4.3864
0,-0.0010649854629308233,0.0037372986268827397,-0.2691838628582673,0.0038860770788487447,8.87817,11.547,0,0,13.5774,3.96818,10,-3.10467,8.32185,8.7728
0,-0.0007195092367428622,0.005867870483735933,-0.2693008305343921,0.00591181846436929,13.3173,17.3205,0,0,20.3661,5.95227,15,-4.65701,12.4828,13.1592
0,-0.0016778566279579254,0.005073108856211419,-0.26917380085925013,0.00534337312293958,17.7563,23.094,0,0,27.1549,7.93636,20,-6.20934,16.6437,17.5456
0,-0.0021529673877213567,0.0038329031368826956,-0.26918086818686043,0.004396181869454098,22.1954,28.8675,0,0,33.9436,9.92045,25,-7.76168,20.8046,21.932
0,-0.0019054512295667756,0.0032039342470965232,-0.26931014657614843,0.0037277257205936575,26.6345,34.641,0,0,40.7323,11.9045,30,-9.31401,24.9656,26.3184
0,-0.0009920815791654445,0.003958733667887987,-0.2693114220941523,0.004081151567019936,31.0736,40.4145,0,0,47.521,13.8886,35,-10.8663,29.1265,30.7048
0,-9.628091243282203e-05,0.005297490642720669,-0.2693229420122803,0.0052983655143649675,35.5127,46.188,0,0,54.3097,15.8727,40,-12.4187,33.2874,35.0912
0,-0.00016124521344785183,0.005872950482140265,-0.2693156421342843,0.005875163604916157,39.9518,51.9615,0,0,61.0984,17.8568,45,-13.971,37.4483,39.4776
0,-0.0012494288952040616,0.005154411280156611,-0.26930031569747165,0.005303680628504752,44.3909,57.735,0,0,67.8871,19.8409,50,-15.5234,41.6093,43.864
0,-0.002275369977785987,0.003988960925588398,-0.2692049447309934,0.004592288950151204,48.83,63.5085,0,0,74.6759,21.825,55,-17.0757,45.7702,48.2504
0,-0.002449647918956735,0.0030464513615233676,-0.26918139378349304,0.003909173931277123,53.269,69.282,0,0,81.4646,23.8091,60,-18.628,49.9311,52.6368
0,-0.0015112899961058674,0.0030278030798278613,-0.26942314950621443,0.003384019642753977,57.7081,75.0555,0,0,88.2533,25.7932,65,-20.1804,54.092,57.0232
0,-0.001402460703378202,0.0033010464503808157,-0.269356871422865,0.0035866145167960085,62.1472,80.829,0,0,95.042,27.7773,70,-21.7327,58.253,61.4096
0,-0.0026383232361146,0.001810847198366626,-0.26940873515581926,0.003199987042794779,66.5863,86.6025,0,0,101.831,29.7614,75,-23.285,62.4139,65.796
0,-0.004558633203848569,-0.0015924021024145754,-0.269335284622205,0.004828755651615128,71.0254,92.376,0,0,108.619,31.7454,80,-24.8374,66.5748,70.1824
